ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,Quarter_Q1,Quarter_Q2,Quarter_Q3,Quarter_Q4,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor
-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.66851798144781,-0.5909025573961064,-0.4576829964936493,1.171472500128347,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,4,1,9,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.66851798144781,-0.6229539787319183,0.5735349511628588,1.9946097379805603,3,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.4886363873737598,-0.2964301238717338,-0.0451958174310461,0.1425509528130801,3,3,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.2862695940404534,-0.5437573552885533,-0.1320352170365334,-0.3809354383438791,2,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,2,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.7134883799663226,-0.6243475187901789,3.667188794132383,3.229315594758881,1,2,1,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.66851798144781,-0.6050121504842307,-0.4576829964936493,1.171472500128347,2,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.6460327821885538,-0.2386853077147805,-0.4576829964936493,-0.4290721336017195,2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.6460327821885538,-0.4179293976861377,-0.4576829964936493,0.485524808777646,1,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.3537251918182222,-0.4112665342834123,-0.0709762661224588,-0.3547611352487759,1,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.5560919851515287,-0.4777645239302205,-0.4576829964936493,-0.298415415788421,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.578577184410785,-0.5731349216555054,-0.4576829964936493,0.485524808777646,2,5,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.66851798144781,-0.5888122473089769,-0.4576829964936493,1.171472500128347,3,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.1963287970034282,0.2474607843232683,-0.2858133454256843,-0.5506821410239723,1,1,9,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,1,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.421180789595991,-0.4493014682263875,-0.4576829964936493,-0.7280749655064747,1,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.66851798144781,-0.6076250380931426,-0.4576829964936493,1.171472500128347,2,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.2637843947811971,0.9335431700709266,-0.4576829964936493,-0.6805862850391334,2,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
